0 -0.28284785 -0.021537725 9.988125 47 31 17
1 -0.2695275 -0.03383345 10.00247 131 108 67
2 -0.24391139 -0.04612918 10.047554 66 49 29
3 -0.29924217 -0.026660945 10.061899 163 130 56
4 -0.3094886 -0.012315931 10.065997 154 122 60
5 -0.2254678 -0.031784166 9.938942 154 128 77
6 -0.23366494 -0.039981317 9.95841 84 66 41
7 -0.29924217 -0.008217355 9.9594345 122 85 40
8 -0.29206964 -0.0071927113 9.992223 46 32 16
9 -0.291045 -0.037932027 10.05985 153 117 44
10 -0.27567536 -0.04920311 10.075219 150 118 45
11 -0.28797108 -0.019488437 9.97378 79 59 33
12 -0.2582564 -0.045104533 10.000421 129 106 63
13 -0.23776352 -0.07276992 10.011691 17 11 6
14 -0.27157676 -0.044079892 10.039357 108 77 34
15 -0.25415784 -0.042030603 10.099811 13 8 8
16 -0.22956638 -0.065597415 9.991199 35 25 18
17 -0.27055213 -0.037932027 10.124402 13 8 10
18 -0.29411894 -0.0153898625 10.02911 130 99 36
19 -0.25518247 -0.03588274 9.966607 142 114 55
20 -0.27055213 -0.0030941358 9.932794 49 31 23
21 -0.27260143 -0.050227754 10.08854 135 101 52
22 -0.22751708 -0.013340575 9.920498 171 140 60
23 -0.24903461 -0.008217355 9.9276705 32 21 13
24 -0.26235497 -0.055350974 10.038332 88 70 44
25 -0.30539003 -0.019488437 10.11518 138 107 55
26 -0.2838725 -0.029734876 10.026036 141 114 60
27 -0.2418621 -0.04920311 9.978903 75 54 29
28 -0.24903461 -0.058424905 10.000421 156 128 55
29 -0.30129144 -0.024611657 10.047554 148 122 74
30 -0.22649245 -0.14859356 10.128501 95 44 0
31 -0.2767 -0.043055248 10.023987 124 97 47
32 -0.2418621 -0.04612918 10.062923 9 7 6
33 -0.29719287 -0.034858096 10.11518 171 137 58
34 -0.24288675 -0.060474195 10.028086 15 11 9
35 -0.2510839 -0.039981317 10.116205 5 5 5
36 -0.22854173 -0.03075952 9.939966 154 127 77
37 -0.291045 -0.01743915 9.974804 54 34 18
38 -0.29411894 -0.034858096 10.060874 164 127 47
39 -0.3023161 -0.0051434236 9.9594345 93 61 31
40 -0.28592178 -0.018463794 9.989149 44 31 19
41 -0.29514357 -0.0041187797 9.991199 59 45 31
42 -0.27260143 -0.028710233 10.00247 130 107 65
43 -0.23366494 -0.0676467 10.026036 26 13 3
44 -0.31051323 -0.008217355 10.067022 137 107 53
45 -0.27260143 -0.04612918 10.090589 127 94 43
